,name,link,min_salary,max_salary,currency,employer,site_name
0,Бизнес-аналитик,https://hh.ru/vacancy/51195397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,140000,140000,руб.,Микроволновая Электроника,hh.ru
1,Аналитик данных,https://hh.ru/vacancy/49548884?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер для экспертов,hh.ru
2,Аналитик (техническая документация),https://hh.ru/vacancy/51720768?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,60000,60000,руб.,IFCG,hh.ru
3,Продуктовый аналитик (удаленно),https://hh.ru/vacancy/50854876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,руб.,ООО Русштрафы,hh.ru
4,Аналитик направления цифрового маркетинга (BI\SQL\Python),https://hh.ru/vacancy/49881796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,170000,170000,руб.,ООО HeadHunter:: IT,hh.ru
5,Аналитик качества данных/Data Steward,https://hh.ru/vacancy/51714877?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер для экспертов,hh.ru
6,Data Analyst/ Data Engineer,https://hh.ru/vacancy/51240974?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер. IT,hh.ru
7,Аналитик по продажам,https://hh.ru/vacancy/51725117?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,130000,130000,руб.,BMI Group,hh.ru
8,Разработчик отчетности/Аналитик данных,https://hh.ru/vacancy/48328351?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер для экспертов,hh.ru
9,Data engineer (аналитик данных),https://hh.ru/vacancy/50710446?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер для экспертов,hh.ru
10,Ведущий аналитик данных / Senior data analyst,https://hh.ru/vacancy/51711011?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,"Лента, федеральная розничная сеть, Офис",hh.ru
11,Аналитик,https://hh.ru/vacancy/48545283?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,"А1. Маркетинг, реклама, PR",hh.ru
12,Системный аналитик,https://hh.ru/vacancy/49229072?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер. IT,hh.ru
13,Аналитик данных,https://hh.ru/vacancy/46241509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,ООО HeadHunter::Департамент коммерческих операций,hh.ru
14,Data Scientist,https://hh.ru/vacancy/50584852?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер. IT,hh.ru
15,Ведущий системный аналитик (бизнес-аналитик),https://hh.ru/vacancy/51853107?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,200000,200000,руб.,ООО Фортес ПРО,hh.ru
16,Data - инженер,https://hh.ru/vacancy/48927705?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер. Data Science,hh.ru
17,Аналитик по отчетности в excel,https://hh.ru/vacancy/51758218?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,ПАО Совкомбанк,hh.ru
18,Ведущий системный аналитик,https://hh.ru/vacancy/50767550?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,руб.,Сбер. IT,hh.ru
19,Бизнес-аналитик/Риск-технолог,https://hh.ru/vacancy/51671223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,АО Банк ДОМ.РФ,hh.ru
20,Главный бизнес-аналитик проекта «Цифровая трансформация»,https://hh.ru/vacancy/49014460?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Сбер для экспертов,hh.ru
21,Системный аналитик,https://hh.ru/vacancy/50080749?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,SberTech,hh.ru
22,CRM Data Analyst / Аналитик данных CRM,https://hh.ru/vacancy/51475189?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,125000,125000,руб.,"Decathlon, Декатлон",hh.ru
23,Systems Analyst,https://hh.ru/vacancy/51606780?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,ЗАО Сервис Деск,hh.ru
24,Специалист Anaplan,https://hh.ru/vacancy/50920074?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Kelly Services,hh.ru
25,Специалист Anaplan,https://hh.ru/vacancy/51748176?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Kelly Services,hh.ru
26,Специалист Anaplan,https://hh.ru/vacancy/51748177?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,Kelly Services,hh.ru
27,Аналітик (research analyst),https://hh.ru/vacancy/50752504?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,"Південний, акціонерний банк",hh.ru
